"ID","地名ID","地名","別名","種別","備考"
512,1108,"忍路郡","オシヨロ","郡ヨミ",""
513,1109,"能義郡","ノギ","郡ヨミ",""
514,1110,"能登郡","カシマ","郡ヨミ",""
515,1111,"能美郡","ノミ","郡ヨミ",""
516,1112,"白糠郡","シラヌカ","郡ヨミ",""
517,1113,"白老郡","シラオイ","郡ヨミ",""
518,1114,"粕屋郡","カスヤ","郡ヨミ",""
519,1115,"幡多郡","ハタ","郡ヨミ",""
520,1116,"幡豆郡","ハズ","郡ヨミ",""
521,1117,"八重山","ヤエヤマ","郡ヨミ",""
522,1118,"八女郡","ヤメ","郡ヨミ",""
523,1119,"八束郡","ヤツカ","郡ヨミ",""
524,1120,"八代郡","ヤツシロ","郡ヨミ",""
525,1121,"八頭郡","ハットウ","郡ヨミ",""
526,1121,"八頭郡","ハツトウ","郡ヨミ",""
527,1122,"板野郡","イタノ","郡ヨミ",""
528,1123,"飯石郡","イイシ","郡ヨミ",""
529,1124,"飯南郡","ハンナン","郡ヨミ",""
530,1125,"磐井郡","イワイ","郡ヨミ",""
531,1126,"磐田郡","イハタ","郡ヨミ",""
532,1127,"磐梨郡","イワナシ","郡ヨミ",""
533,1128,"比企郡","ヒキグン","郡ヨミ",""
534,1129,"飛騨谷","ヒダダニ","郡ヨミ",""
535,1130,"簸川郡","ヒカワ","郡ヨミ",""
536,1131,"美国郡","ビクニ","郡ヨミ",""
537,1132,"美禰郡","ミネ","郡ヨミ",""
538,1133,"美嚢郡","ミノ","郡ヨミ",""
539,1134,"美濃郡","ミノ","郡ヨミ",""
540,1135,"美馬郡","ミマ","郡ヨミ",""
541,1136,"美方郡","ミカタ","郡ヨミ",""
542,1137,"稗貫郡","ヒエヌキ","郡ヨミ",""
543,1138,"標津郡","シベツ","郡ヨミ",""
544,1139,"氷見郡","ヒミ","郡ヨミ",""
545,1140,"氷上郡","ヒカミ","郡ヨミ",""
546,1141,"浜益郡","ハママシケ","郡ヨミ",""
547,1142,"浜名郡","ハマナ","郡ヨミ",""
548,1143,"不破郡","フワ","郡ヨミ",""
549,1144,"婦負郡","ネイ","郡ヨミ",""
550,1145,"富士郡","フジ","郡ヨミ",""
551,1147,"浮羽郡","ウキハ","郡ヨミ",""
552,1148,"附説","フセツ","郡ヨミ",""
553,1149,"武儀郡","ムギ","郡ヨミ",""
554,1150,"武庫郡","ムコ","郡ヨミ",""
555,1151,"平鹿郡","ヒラカ","郡ヨミ",""
556,1152,"閉伊郡","ヘイ","郡ヨミ",""
557,1153,"碧海郡","アオミ","郡ヨミ",""
558,1154,"宝飯郡","ホイ","郡ヨミ",""
559,1155,"芳賀郡","ハガ","郡ヨミ",""
560,1156,"豊浦郡","トヨラ","郡ヨミ",""
561,1158,"豊多摩郡","トヨタマ","郡ヨミ",""
562,1159,"豊田郡","トヨタ","郡ヨミ",""
563,1160,"豊能郡","トヨノ","郡ヨミ",""
564,1161,"飽海郡","アクミ","郡ヨミ",""
565,1162,"飽託郡","ホウタク","郡ヨミ",""
566,1163,"鳳至郡","フゲシ","郡ヨミ",""
567,1164,"北宇和郡","キタウワ","郡ヨミ",""
568,1165,"北河内郡","キタカワチ","郡ヨミ",""
569,1166,"北会津郡","キタアイヅ","郡ヨミ",""
570,1167,"北葛城郡","キタカツラギ","郡ヨミ",""
571,1168,"北葛飾郡","キタカツシカグン","郡ヨミ",""
572,1169,"北蒲原郡","キタカンバラ","郡ヨミ",""
573,1170,"北巨麻郡","キタコマ","郡ヨミ",""
574,1171,"北魚沼郡","キタウオヌマ","郡ヨミ",""
575,1172,"北郡","キタ","郡ヨミ",""
576,1173,"北埼玉郡","キタサイタマグン","郡ヨミ",""
577,1174,"北秋田郡","キタアキタ","郡ヨミ",""
578,1175,"北諸県郡","キタモロカタ","郡ヨミ",""
579,1176,"北足立郡","キタアダチグン","郡ヨミ",""
580,1177,"北村山郡","キタムラヤマ","郡ヨミ",""
581,1178,"北多摩郡","キタタマ","郡ヨミ",""
582,1179,"北津軽郡","キタツガル","郡ヨミ",""
583,1180,"北豊島郡","キタトシマ","郡ヨミ",""
584,1181,"北牟婁郡","キタムロ","郡ヨミ",""
585,1182,"幌泉郡","ホロイズミ","郡ヨミ",""
586,1183,"幌別郡","ポロベツ","郡ヨミ",""
587,1184,"本吉郡","モトヨシ","郡ヨミ",""
588,1185,"本郷区","ホンゴウ","郡ヨミ",""
589,1186,"本山","モトヤマ","郡ヨミ",""
590,1187,"本所区","ホンジヨク","郡ヨミ",""
591,1188,"本巣郡","モトス","郡ヨミ",""
592,1189,"麻植郡","オエ","郡ヨミ",""
593,1190,"麻布区","アザブ","郡ヨミ",""
594,1191,"霧食郡","キイタプ","郡ヨミ",""
595,1192,"名賀郡","ナガ","郡ヨミ",""
596,1194,"名取郡","ナトリ","郡ヨミ",""
597,1195,"名西郡","ナノニシ","郡ヨミ",""
598,1196,"名東郡","ナノヒガシ","郡ヨミ",""
599,1197,"明石郡","アカシ","郡ヨミ",""
600,1198,"網走郡","アバシリ","郡ヨミ",""
601,1199,"木田郡","キダ","郡ヨミ",""
602,1200,"目梨郡","メナシ","郡ヨミ",""
603,1201,"紋別郡","モンベツ","郡ヨミ",""
604,1202,"耶麻郡","ヤマ","郡ヨミ",""
605,1203,"野洲郡","ヤス","郡ヨミ",""
606,1204,"野付郡","ノツケ","郡ヨミ",""
607,1205,"勇払郡","ユウプツ","郡ヨミ",""
608,1206,"揖宿郡","イブスキ","郡ヨミ",""
609,1207,"揖斐郡","イビ","郡ヨミ",""
610,1208,"揖保郡","イイボ","郡ヨミ",""
611,1209,"有珠郡","ウス","郡ヨミ",""
612,1210,"有田郡","アリタ","郡ヨミ",""
613,1211,"有馬郡","アリマ","郡ヨミ",""
614,1212,"由利郡","ユリ","郡ヨミ",""
615,1213,"邑楽郡","オウラ","郡ヨミ",""
616,1214,"邑久郡","オウク","郡ヨミ",""
617,1215,"邑智郡","オウチ","郡ヨミ",""
618,1216,"雄勝郡","オカチ","郡ヨミ",""
619,1217,"夕張郡","ユウバリ","郡ヨミ",""
620,1218,"余市郡","ヨイチ","郡ヨミ",""
621,1219,"与謝郡","ヨサ","郡ヨミ",""
622,1220,"様似郡","サマニ","郡ヨミ",""
623,1221,"葉栗郡","ハグリ","郡ヨミ",""
624,1222,"養父郡","ヤブ","郡ヨミ",""
625,1223,"養老郡","ヨウロウ","郡ヨミ",""
626,1224,"洛東","ラクトウ","郡ヨミ",""
627,1225,"利根郡","トネ","郡ヨミ",""
628,1226,"利尻郡","リイシリ","郡ヨミ",""
629,1227,"留萌郡","ルルモエ","郡ヨミ",""
630,1228,"礼文郡","レプン","郡ヨミ",""
631,1229,"鈴鹿郡","スズカ","郡ヨミ",""
632,1231,"和賀郡","ワガ","郡ヨミ",""
633,1232,"和気郡","ワケ","郡ヨミ",""
634,1233,"亘理郡","ワタリ","郡ヨミ",""
635,1234,"巖手郡","イワテ","郡ヨミ",""
636,1235,"檜山郡","ヒヤマ","郡ヨミ",""
637,1236,"礪波郡","トナミ","郡ヨミ",""
638,1237,"蘆品郡","アシシナ","郡ヨミ",""
639,1238,"邇摩郡","ニマ","郡ヨミ",""
