"ID","地名","属性","形状","緯度","経度","緯度2","経度2","出典","出典詳細","備考"
94,"安房",2,1,,,,,"式内社","国",
95,"伊賀",2,1,,,,,"式内社","国",
96,"伊勢",2,1,,,,,"式内社","国",
97,"伊豆",2,1,,,,,"式内社","国",
98,"伊予",2,1,,,,,"式内社","国",
99,"壱岐",2,1,,,,,"式内社","国",
100,"因幡",2,1,,,,,"式内社","国",
101,"隠岐",2,1,,,,,"式内社","国",
102,"羽後",2,1,,,,,"式内社","国",
103,"羽前",2,1,,,,,"式内社","国",
104,"越後",2,1,,,,,"式内社","国",
105,"越前",2,1,,,,,"式内社","国",
106,"越中",2,1,,,,,"式内社","国",
107,"遠江",2,1,,,,,"式内社","国",
108,"下総",2,1,,,,,"式内社","国",
109,"下野",2,1,,,,,"式内社","国",
110,"加賀",2,1,,,,,"式内社","国",
111,"河内",2,1,,,,,"式内社","国",
112,"岩代",2,1,,,,,"式内社","国",
113,"紀伊",2,1,,,,,"式内社","国",
114,"近江",2,1,,,,,"式内社","国",
115,"甲斐",2,1,,,,,"式内社","国",
116,"佐渡",2,1,,,,,"式内社","国",
117,"薩摩",2,1,,,,,"式内社","国",
118,"三河",2,1,,,,,"式内社","国",
119,"山城",2,1,,,,,"式内社","国",
120,"讃岐",2,1,,,,,"式内社","国",
121,"志摩",2,1,,,,,"式内社","国",
122,"若狭",2,1,,,,,"式内社","国",
123,"周防",2,1,,,,,"式内社","国",
124,"出雲",2,1,,,,,"式内社","国",
125,"駿河",2,1,,,,,"式内社","国",
126,"上総",2,1,,,,,"式内社","国",
127,"上野",2,1,,,,,"式内社","国",
128,"常陸",2,1,,,,,"式内社","国",
129,"信濃",2,1,,,,,"式内社","国",
130,"石見",2,1,,,,,"式内社","国",
131,"摂津",2,1,,,,,"式内社","国",
132,"相模",2,1,,,,,"式内社","国",
133,"対馬",2,1,,,,,"式内社","国",
134,"大隅",2,1,,,,,"式内社","国",
135,"大和",2,1,,,,,"式内社","国",
136,"但馬",2,1,,,,,"式内社","国",
137,"丹後",2,1,,,,,"式内社","国",
138,"丹波",2,1,,,,,"式内社","国",
139,"淡路",2,1,,,,,"式内社","国",
140,"筑後",2,1,,,,,"式内社","国",
141,"筑前",2,1,,,,,"式内社","国",
142,"長門",2,1,,,,,"式内社","国",
143,"土佐",2,1,,,,,"式内社","国",
144,"日向",2,1,,,,,"式内社","国",
145,"能登",2,1,,,,,"式内社","国",
146,"播磨",2,1,,,,,"式内社","国",
147,"伯耆",2,1,,,,,"式内社","国",
148,"磐城",2,1,,,,,"式内社","国",
149,"肥後",2,1,,,,,"式内社","国",
150,"肥前",2,1,,,,,"式内社","国",
151,"飛騨",2,1,,,,,"式内社","国",
152,"備後",2,1,,,,,"式内社","国",
153,"備前",2,1,,,,,"式内社","国",
154,"備中",2,1,,,,,"式内社","国",
155,"尾張",2,1,,,,,"式内社","国",
156,"美作",2,1,,,,,"式内社","国",
157,"美濃",2,1,,,,,"式内社","国",
158,"武蔵",2,1,,,,,"式内社","国",
159,"豊後",2,1,,,,,"式内社","国",
160,"豊前",2,1,,,,,"式内社","国",
161,"陸前",2,1,,,,,"式内社","国",
162,"陸中",2,1,,,,,"式内社","国",
163,"和泉",2,1,,,,,"式内社","国",
164,"阿賀郡",3,1,,,,,"式内社","郡",
165,"阿山郡 ",3,1,,,,,"式内社","郡",
166,"阿蘇郡",3,1,,,,,"式内社","郡",
167,"阿波郡",3,1,,,,,"式内社","郡",
168,"愛甲郡",3,1,,,,,"式内社","郡",
169,"愛知郡",3,1,,,,,"式内社","郡",
170,"愛宕郡",3,1,,,,,"式内社","郡",
171,"姶良郡",3,1,,,,,"式内社","郡",
172,"渥美郡",3,1,,,,,"式内社","郡",
173,"綾歌郡 ",3,1,,,,,"式内社","郡",
174,"安芸郡",3,1,,,,,"式内社","郡",
175,"安積郡",3,1,,,,,"式内社","郡",
176,"安曇郡",3,1,,,,,"式内社","郡",
177,"安濃郡",3,1,,,,,"式内社","郡",
178,"安倍郡",3,1,,,,,"式内社","郡",
179,"安八郡",3,1,,,,,"式内社","郡",
180,"安房郡 ",3,1,,,,,"式内社","郡",
181,"庵原郡",3,1,,,,,"式内社","郡",
182,"伊具郡",3,1,,,,,"式内社","郡",
183,"伊香郡",3,1,,,,,"式内社","郡",
184,"伊都郡",3,1,,,,,"式内社","郡",
185,"伊那郡",3,1,,,,,"式内社","郡",
186,"伊予郡",3,1,,,,,"式内社","郡",
187,"意宇郡",3,1,,,,,"式内社","郡",
188,"磯城郡",3,1,,,,,"式内社","郡",
189,"壱岐郡",3,1,,,,,"式内社","郡",
190,"壱志郡",3,1,,,,,"式内社","郡",
191,"稲敷郡",3,1,,,,,"式内社","郡",
192,"稲葉郡 ",3,1,,,,,"式内社","郡",
193,"茨城郡",3,1,,,,,"式内社","郡",
194,"印旛郡",3,1,,,,,"式内社","郡",
195,"員弁郡",3,1,,,,,"式内社","郡",
196,"引佐郡 ",3,1,,,,,"式内社","郡",
197,"隠地郡",3,1,,,,,"式内社","郡",
198,"宇佐郡",3,1,,,,,"式内社","郡",
199,"宇治郡",3,1,,,,,"式内社","郡",
200,"宇陀郡",3,1,,,,,"式内社","郡",
201,"宇智郡",3,1,,,,,"式内社","郡",
202,"宇摩郡",3,1,,,,,"式内社","郡",
203,"羽咋郡",3,1,,,,,"式内社","郡",
204,"羽茂郡",3,1,,,,,"式内社","郡",
205,"荏原郡",3,1,,,,,"式内社","郡",
206,"英田郡",3,1,,,,,"式内社","郡",
207,"越智郡",3,1,,,,,"式内社","郡",
208,"遠田郡",3,1,,,,,"式内社","郡",
209,"遠敷郡",3,1,,,,,"式内社","郡",
210,"牡鹿郡",3,1,,,,,"式内社","郡",
211,"乙訓郡",3,1,,,,,"式内社","郡",
212,"温泉郡",3,1,,,,,"式内社","郡",
213,"下京区",3,1,,,,,"式内社","郡",
214,"下県郡",3,1,,,,,"式内社","郡",
215,"下高井郡",3,1,,,,,"式内社","郡",
216,"下新川郡",3,1,,,,,"式内社","郡",
217,"下道郡",3,1,,,,,"式内社","郡",
218,"加古郡",3,1,,,,,"式内社","郡",
219,"加佐郡",3,1,,,,,"式内社","郡",
220,"加美郡 ",3,1,,,,,"式内社","郡",
221,"加茂郡",3,1,,,,,"式内社","郡",
222,"河芸郡",3,1,,,,,"式内社","郡",
223,"河内郡",3,1,,,,,"式内社","郡",
224,"河辺郡",3,1,,,,,"式内社","郡",
225,"河北郡",3,1,,,,,"式内社","郡",
226,"賀茂郡",3,1,,,,,"式内社","郡",
227,"賀陽郡",3,1,,,,,"式内社","郡",
228,"海草郡",3,1,,,,,"式内社","郡",
229,"海部郡",3,1,,,,,"式内社","郡",
230,"額田郡",3,1,,,,,"式内社","郡",
231,"葛野郡",3,1,,,,,"式内社","郡",
232,"蒲生郡",3,1,,,,,"式内社","郡",
233,"刈羽郡",3,1,,,,,"式内社","郡",
234,"刈田郡",3,1,,,,,"式内社","郡",
235,"甘楽郡",3,1,,,,,"式内社","郡",
236,"岩瀬郡",3,1,,,,,"式内社","郡",
237,"岩船郡",3,1,,,,,"式内社","郡",
238,"岩美郡  ",3,1,,,,,"式内社","郡",
239,"気高郡 ",3,1,,,,,"式内社","郡",
240,"気仙郡",3,1,,,,,"式内社","郡",
241,"紀伊郡",3,1,,,,,"式内社","郡",
242,"吉城郡",3,1,,,,,"式内社","郡",
243,"吉敷郡",3,1,,,,,"式内社","郡",
244,"吉野郡",3,1,,,,,"式内社","郡",
245,"久慈郡",3,1,,,,,"式内社","郡",
246,"久世郡",3,1,,,,,"式内社","郡",
247,"宮崎郡",3,1,,,,,"式内社","郡",
248,"宮城郡",3,1,,,,,"式内社","郡",
249,"玉造郡",3,1,,,,,"式内社","郡",
250,"玉名郡",3,1,,,,,"式内社","郡",
251,"窪屋郡",3,1,,,,,"式内社","郡",
252,"熊毛郡",3,1,,,,,"式内社","郡",
253,"熊野郡",3,1,,,,,"式内社","郡",
254,"栗原郡",3,1,,,,,"式内社","郡",
255,"栗太郡",3,1,,,,,"式内社","郡",
256,"桑田郡",3,1,,,,,"式内社","郡",
257,"桑名郡",3,1,,,,,"式内社","郡",
258,"君津郡",3,1,,,,,"式内社","郡",
259,"群馬郡 ",3,1,,,,,"式内社","郡",
260,"結城郡",3,1,,,,,"式内社","郡",
261,"犬上郡",3,1,,,,,"式内社","郡",
262,"古志郡",3,1,,,,,"式内社","郡",
263,"吾川郡",3,1,,,,,"式内社","郡",
264,"後月郡",3,1,,,,,"式内社","郡",
265,"御調郡",3,1,,,,,"式内社","郡",
266,"御野郡",3,1,,,,,"式内社","郡",
267,"更級郡",3,1,,,,,"式内社","郡",
268,"江刺郡",3,1,,,,,"式内社","郡",
269,"江沼郡",3,1,,,,,"式内社","郡",
270,"甲賀郡",3,1,,,,,"式内社","郡",
271,"香取郡",3,1,,,,,"式内社","郡",
272,"香川郡",3,1,,,,,"式内社","郡",
273,"香美郡",3,1,,,,,"式内社","郡",
274,"高座郡",3,1,,,,,"式内社","郡",
275,"高市郡",3,1,,,,,"式内社","郡",
276,"高島郡",3,1,,,,,"式内社","郡",
277,"黒川郡",3,1,,,,,"式内社","郡",
278,"今立郡",3,1,,,,,"式内社","郡",
279,"佐賀郡",3,1,,,,,"式内社","郡",
280,"佐久郡",3,1,,,,,"式内社","郡",
281,"佐波郡 ",3,1,,,,,"式内社","郡",
282,"佐伯郡",3,1,,,,,"式内社","郡",
283,"佐用郡",3,1,,,,,"式内社","郡",
284,"坂井郡",3,1,,,,,"式内社","郡",
285,"坂田郡",3,1,,,,,"式内社","郡",
286,"雑太郡",3,1,,,,,"式内社","郡",
287,"三井郡",3,1,,,,,"式内社","郡",
288,"三原郡",3,1,,,,,"式内社","郡",
289,"三重郡",3,1,,,,,"式内社","郡",
290,"三島郡",3,1,,,,,"式内社","郡",
291,"三方郡",3,1,,,,,"式内社","郡",
292,"三豊郡",3,1,,,,,"式内社","郡",
293,"三養基郡",3,1,,,,,"式内社","郡",
294,"山田郡",3,1,,,,,"式内社","郡",
295,"山辺郡",3,1,,,,,"式内社","郡",
296,"山本郡",3,1,,,,,"式内社","郡",
297,"市原郡",3,1,,,,,"式内社","郡",
298,"志太郡 ",3,1,,,,,"式内社","郡",
299,"志田郡",3,1,,,,,"式内社","郡",
300,"志摩郡",3,1,,,,,"式内社","郡",
301,"糸島郡",3,1,,,,,"式内社","郡",
302,"紫波郡",3,1,,,,,"式内社","郡",
303,"児玉郡  ",3,1,,,,,"式内社","郡",
304,"児湯郡",3,1,,,,,"式内社","郡",
305,"滋賀郡",3,1,,,,,"式内社","郡",
306,"鹿島郡",3,1,,,,,"式内社","郡",
307,"宍粟郡",3,1,,,,,"式内社","郡",
308,"柴田郡",3,1,,,,,"式内社","郡",
309,"射水郡",3,1,,,,,"式内社","郡",
310,"珠洲郡",3,1,,,,,"式内社","郡",
311,"周吉郡",3,1,,,,,"式内社","郡",
312,"周桑郡",3,1,,,,,"式内社","郡",
313,"周智郡",3,1,,,,,"式内社","郡",
314,"宗像郡",3,1,,,,,"式内社","郡",
315,"秋鹿郡",3,1,,,,,"式内社","郡",
316,"出雲郡",3,1,,,,,"式内社","郡",
317,"出石郡",3,1,,,,,"式内社","郡",
318,"春日部郡",3,1,,,,,"式内社","郡",
319,"駿東郡",3,1,,,,,"式内社","郡",
320,"楯縫郡",3,1,,,,,"式内社","郡",
321,"勝浦郡",3,1,,,,,"式内社","郡",
322,"小笠郡 ",3,1,,,,,"式内社","郡",
323,"小県郡",3,1,,,,,"式内社","郡",
324,"小田郡",3,1,,,,,"式内社","郡",
325,"小島郡",3,1,,,,,"式内社","郡",
326,"松浦郡",3,1,,,,,"式内社","郡",
327,"沼隈郡",3,1,,,,,"式内社","郡",
328,"上京区",3,1,,,,,"式内社","郡",
329,"上県郡",3,1,,,,,"式内社","郡",
330,"上高井郡",3,1,,,,,"式内社","郡",
331,"上道郡",3,1,,,,,"式内社","郡",
332,"城崎郡 ",3,1,,,,,"式内社","郡",
333,"埴科郡",3,1,,,,,"式内社","郡",
334,"飾磨郡",3,1,,,,,"式内社","郡",
335,"信夫郡",3,1,,,,,"式内社","郡",
336,"新居郡",3,1,,,,,"式内社","郡",
337,"新治郡",3,1,,,,,"式内社","郡",
338,"榛原郡",3,1,,,,,"式内社","郡",
339,"深安郡 ",3,1,,,,,"式内社","郡",
340,"真壁郡",3,1,,,,,"式内社","郡",
341,"神崎郡",3,1,,,,,"式内社","郡",
342,"神門郡",3,1,,,,,"式内社","郡",
343,"仁多郡",3,1,,,,,"式内社","郡",
344,"諏訪郡",3,1,,,,,"式内社","郡",
345,"水内郡",3,1,,,,,"式内社","郡",
346,"世羅郡",3,1,,,,,"式内社","郡",
